key,stars,helpful_yes,helpful_no,text
0_bj,3,10.0,3.0,"Super good, dont get me wrong. But I came for the caramel and brownies, not the sweet cream. The packaging made it seem like brownies were packed and bountiful *crying frowny emoji* Id say the taste of this was amazing, but the ratio of brownie to sweet cream was disappointing. Liked it regardless but probably wont buy again simply because it didnt live up to its promising package. Ill find another one that has a better ratio and wayyy more yummy chewy brownies. Overall, good flavor, texture, idea, and brownies. Not so great caramel/sweet cream/ brownie RATIO. Just add more brownies. Please."
0_bj,5,3.0,0.0,"I decided to try it out although I’m not a huge caramel fan, and the first buy was ok, didn’t like the caramel too much and for some reason that specific pint barely had any brownies! Like there were some on top but from the middle to the bottom? Zilch. Nada. Nothing! It was disappointing. But for some reason, I bought it again and I really do believe it was just that point bcuz the second one was glorious!! I had a big brownie chunk in EVERY bite. Plus the caramel didn’t bother me as much and I took a liking to it. Conclusion: I’m on my fifth pint, of the week and I’m going back to get my daily pint cus I’m kinda sick and need some happiness."
0_bj,3,5.0,2.0,"My caramel core begins to disappear about half way through. I only buy this for the caramel core. The first time I purchased this I was not even aware that there were blonde bits in there. You had me a salted caramel core, well this is the fourth pint that I have purchased and the caramel is plentiful at the top then it begins to get sparse about half way down at 3/4s of the way down its gone. It works out in my husbands favor because he doesnt care for the caramel so he gets to finish my pint while having a full pint of his choice. Please please please, its called salted caramel core for a reason. Let the caramel flow through the core. P.S. You could put a little extra in there, I totally would not mind."
0_bj,5,24.0,1.0,"Why are people complaining about the blonde brownies? If you don’t like blonde brownies, get ice cream with fudge brownies! I LOVE the blonde brownies and cannot get enough of them. This ice cream is by far my favorite. I have driven to multiple stores to try and find it... and when I do, I stock up! I’ve tried other flavors when I can’t find this one, and none of them even come close to making me as happy as this does! I’d say sometimes the caramel to brownie ratio is a little off at times (more brownies please!), but I’ll still always enjoy it nevertheless!"
0_bj,2,3.0,1.0,"I bought this last night to go with Louisiana Crunch cake because I was craving that salty and sweet flavor. Unfortunately, I was not thrilled with the salted caramel core of this ice cream. Usually, when you have salted caramel, the salt enhances the flavor of the caramel. The salt in this core OVERWHELMED everything, even the cake. It was disappointing to not enjoy my dessert and I doubt Ill be finishing this pint of ice cream, which is a shame because you should never have to throw away ice cream."
0_bj,3,4.0,1.0,"I am not a chocolate person at all, and this was my very first time trying Ben & Jerrys, (Shame on me Im 23 lol) so I was so excited to find a Caramel Ice Cream with BLONDE Brownie chunks instead of fudge. I really wanted to like this ice cream but I just couldnt. The Salted Caramel is a little too salty, In fact, I couldnt even eat the core, I just ate around it. I didnt really like the Sweet Cream Ice Cream, it didnt really have a taste to me, (Maybe Vanilla would be better). The only thing I loved about this Ice Cream were the Blonde Brownie Chunks, They were so delicious! I would love for this Ice Cream Recipe to be worked on, maybe Ill give it a try again in the future."
0_bj,2,8.0,6.0,"I LOVE caramel, so much so that I could eat it off a spoon, which was exactly what I was planning to do when I bought this ice cream. Unfortunately this caramel core is way too salty. I actually eat around it! Im not a fan of the sweet cream ice cream flavor either; vanilla wouldve worked better. The blondie pieces were delicious but overall Im disappointed. I really wanted to love this since I love Ben & Jerrys but this was not up to par with their other flavors!"
0_bj,3,3.0,2.0,"Ive seen this flavor multiple times at the grocery store the past few months and been tempted, finally pulled the trigger last week."
0_bj,4,2.0,1.0,"This was my 1st pint of Salted Caramel Core but not my first Ben and Jerry’s Core pint. My first impression was that my core was HUGE! It was literally overflowing when I opened the pint! Wow! And the caramel itself was delicious; salty sweet and gooey! The sweet cream ice cream was very rich and cut through the sweet of the core nicely. My only issue was the blonde brownie bits. It’s not that they weren’t plentiful, I just really didn’t like the taste of them, which is sad because the rest of the pint was KILLER! The chocolate brownies in the other flavors are amazingly good so I was disappointed that these blonde ones weren’t very good and I ate around them. So, all in all, it was a good pint with amazing caramel, good ice cream and funky brownies."
0_bj,3,1.0,0.0,I know sweet cream ice cream probably wouldnt be a big seller but I wish B&J would make more flavors with a sweet cream base or just a plain sweet cream ice cream. When the flavor was 1st introduced I used to get this regularly but it got to a point I was throwing away most of the caramel because it was too salty. I will still occasionally purchase as there are no other flavors with sweet cream.
0_bj,3,1.0,0.0,"Bought this recently because my local target has stopped carrying Blondie Ambition, which was my favorite. I love the sweet-cream ice cream; my container didnt seem to have very many blondie chunks (which was disappointing, see previous) and the salted caramel core was overly salty. It was okay. I might buy it again but would rather have Blondie Ambition."
0_bj,2,1.0,0.0,"I really wanted to like this flavor but it was quite disappointing. Halfway into the pint, the core pretty much disappeared. There was way too much at the top and it wasnt dispersed evenly throughout the ice cream. The caramel was also way too salty for my tastes. Also wished there were more brownie pieces, only found a few in the entire pint."
0_bj,3,3.0,1.0,"Couldnt find any in my pint. But the rest is fabulous, dont change a thing!"
0_bj,1,1.0,0.0,"I had a major craving for ice cream so of course I had to go to the store for some Ben and Jerrys! I was really excited about this flavor, but after a few bites I was gagging. It was too salty and there were barely any brownie chunks :/ Im really sad this ice cream is going to go waste, but Im not happy with my purchase at all."
0_bj,2,1.0,0.0,Just bought this last night and like some of the other reviews there were only a few flecks of blondie. Mine was nothing like the photos. And so the combination of just ice cream and such salty caramel was disappointing and unbalanced. I dont know if the core extended to the bottom since I didnt eat enough to find out.
0_bj,2,1.0,0.0,"The salted caramel core tastes like someone went a little too salt happy. There was just too much core in ratio with the ice cream an in addition to the bad core to ice cream ratio, the core was just too salty to handle. Please fix the core because the ice cream itself with the blonde brownie bits are delicious."
0_bj,3,1.0,0.0,"The blondie mix ins and sweet cream ice cream were nice, but I really wasnt a fan of the caramel core, because it was far too salty. Youve got multiple reviews saying that its too salty, please dont skim over those reviews. Please consider tweaking the recipe on this one so its less salty."
0_bj,2,1.0,0.0,"I usually love salted caramel foods, and I adore Ben & Jerrys decadent ice creams. The ice cream was excellent, the brownie pieces were yummy, but the caramel tasted way too salty! The salt is supposed to compliment the caramel, not overpower it. Im pretty disappointed."
0_bj,3,1.0,0.0,"I love anything caramel. I was super excited when I saw the whole core was salted caramel. However it was way too salty, I even tried mixing it with the sweet cream ice cream and it was still too salty. It could also use more of the brownie, which was certainly delicious."
0_bj,1,2.0,1.0,"There must have been some sort of mistake with the amount of salt mixed into the caramel. Nobody would but that much saint into a desert. The pint its still on our freezer. On a side note, Cherry Garcia is the best ice cream ever made."
0_bj,2,1.0,0.0,Tried this flavor for the first time about two weeks ago it was delicious; But today I’m extremely disappointed. The core is so salty in this pint. I had other people try and they also agreed it was too salty. Don’t think I’m buying again.
0_bj,2,1.0,0.0,"I am a lover of all things caramel, and while the ice cream and the blonde bites were delicious, I found myself eating around the core because it was just too salty. Tasted like caramel flavored salt. Very disappointed in this flavor."
0_bj,5,2.0,1.0,Salted caramel core is in my top three. My eating tactic is to scoop the ice cream from the outside and then smash the back of the spoon into the core so when I take a bite the first thing Im hit with is salty and then its sweet.
0_bj,1,1.0,0.0,"My daughter picked up this flavor for me to try because I love Carmel. I have to say, this is the worst flavor I have ever had. The blonde fudge was bland but the salted Carmel was the worst. It was so salty that I couldnt eat it."
0_bj,2,1.0,0.0,"I love Ben & Jerry and was excited about the Salted Caramel Core, BUT the caramel is WAY to salty. I even tried to eat it with more ice cream But the salty flavor is too powerful. Disappointed, I know Ben & Jerry could do better !"
0_bj,2,1.0,0.0,"Tried this for the very first time today. The caramel core was extremely salty. Way to salty to actually enjoy the caramel. Left a bad after taste. On a positive note, the core was gooey and easy to scoop out with a spoon."
0_bj,1,1.0,0.0,I really cant stand the flavors with chunks of cookie/brownie. It seems like Im eating something stale. Im in the minority but I stopped going to a convenience store near me because all they carried were those types.
