<<<<<<< HEAD
=======
<<<<<<< HEAD
>>>>>>> main
key,stars,helpful_yes,helpful_no,text,rating
0_breyers,1,11,0,"I am interested in the flavoring components used. I notice that the ingredients list does not mention vanilla beans or vanilla, only natural flavors. There is a statement on the box about the characteristics of the vanilla used (which are good), and it states that all the flavors used are natural, but that all leaves it pretty obvious that there are other flavoring agents besides vanilla... I have heard that a common component in ice cream nowadays are ingredients coming from non-vegetable sources, such as ground-up beetle shells. Do you also include non-vegetable sourced flavoring agents in Breyers Natural Vanilla? Regarding the review titled Better before, I must agree with this reviewer. There was a day when you advertised the vanilla bean specks, and you could really see them; not so much any more. But thats not the main issue. The flavor was much better back then; Breyers was the only manufacturer with a vanilla ice cream that had good flavor, from my perspective, but not since you changed your recipe. I still like the mint chocolate chip ice cream -- it is one of my favorites -- but you lost me with the vanilla. I dont even like it on top of pie anymore, much less by itself. Then, on top of the flavor changes you made, you are gunking it up with gum. That has been very disappointing. I dont know why you thought you had to change the recipe, much less stick with the change. Coca-Cola, back in the day when they came up with their new Coke at least had the sense to go back to their classic recipe. I dont recommend your vanilla to anyone anymore. I used to recommend it all the time.",4.1
0_breyers,1,7,0,"Boy, was I surprised when I got my Bryers home only to discover it is a “frozen dairy dessert“, not even ice cream, and that the second ingredient is corn syrup. Will not be purchasing it again. Much different from what Breyers used to stand for.",4.1
0_breyers,1,8,0,I havent purchased this product in awhile and was so surprised today to find out that you had cheapened the ingredients. Vegetable gum and natural flavor - what a disappointment. Youve lost a customer. Now I will be looking for an alternative.,4.1
0_breyers,1,4,0,"The Natural Vanilla recipe change to include Tara Gum changes the texture and more importantly, the flavor in negative ways. The previous rich and creamy vanilla flavor profile now has an “off” taste that takes away the previously perceptible vanilla beans. This was previously the go-to ice cream. Now? I tried for a while but I will not be buying again and will find a better replacement without the funky gum flavor until at least the classic recipe comes back as an option.",4.1
0_breyers,5,21,2,I had the same issue with breyers. I finally found turkey hill all natural ice cream. Don’t settle for fillers. Eat natural,4.1
0_breyers,1,4,0,I rarely eat ice cream these days but bought this just to have around for the occasional indulgence. Breyer’s used to be our standard way back so this was the logical choice. I tried a spoonful and was immediately turned off by how over the top sweet it was to the point it doesn’t taste like ice cream. It’s now in the sink melting so I can flush it down the toilet. Visiting your website I see you have a no added sugar version. Why add any in the first place? Very disappointed.,4.1
0_breyers,2,11,0,I bought Breyer because it was the best ice cream no chemicals most natural ice cream on the market now you have ruined it,4.1
0_breyers,1,2,0,I’m upset that both 1.5Qt containers of the “Natural Vanilla” from two different stores both lacked the little black specks I have come to love and expect.,4.1
0_breyers,1,3,0,"Seems when Breyers sold out to Unilever years ago the brand was heavily cheapened. Most ice cream makers have started adding gum to their product to stabilize it during shipping. Unfortunately it makes the ice cream unbearable to the tongue. Its nothing like real ice cream any more. Breyers has succumbed to industry trends rather than maintaining a quality product that we all came to love and support. I personally never minded paying a little more money for a quality product. Theyve cheapened it and shrunken the container portion, yet still charge a hefty price. The only brands I have found that still make real ice cream are Hagan Daz and Turkey Hill. And Blue Bunny Vanilla, but it comes in a plastic container. So I wont buy it.",4.1
0_breyers,1,5,0,"This new flavor of vanilla completely misses the mark when it comes to a true vanilla bean flavor. I bought this flavor thinking it was the old flavor of vanilla (Natural Vanilla with vanilla bean specks.) This flavor has absolutely no hint of true vanilla. Frankly, it is horrible and not any better than any run-of-the-mill superstore-grade vanilla ice cream, except for its lack of diglycerides. Breyers, please bring back the Natural Vanilla with Vanilla Bean Specks!",4.1
