key,stars,helpful_yes,helpful_no,text,rating,sentiment,bag_of_words,bag_of_words_str
0_breyers,1,11,0,"['interested', 'flavoring', 'component', 'used', 'notice', 'ingredient', 'list', 'mention', 'vanilla', 'bean', 'vanilla', 'natural', 'flavor', 'statement', 'box', 'characteristic', 'vanilla', 'used', 'good', 'state', 'flavor', 'used', 'natural', 'leaf', 'pretty', 'obvious', 'flavoring', 'agent', 'besides', 'vanilla', 'heard', 'common', 'component', 'ice', 'cream', 'nowadays', 'ingredient', 'coming', 'non', 'vegetable', 'source', 'ground', 'beetle', 'shell', 'also', 'include', 'non', 'vegetable', 'sourced', 'flavoring', 'agent', 'breyers', 'natural', 'vanilla', 'regarding', 'review', 'titled', 'better', 'must', 'agree', 'reviewer', 'day', 'advertised', 'vanilla', 'bean', 'speck', 'could', 'really', 'see', 'much', 'thats', 'main', 'issue', 'flavor', 'much', 'better', 'back', 'breyers', 'manufacturer', 'vanilla', 'ice', 'cream', 'good', 'flavor', 'perspective', 'since', 'changed', 'recipe', 'still', 'like', 'mint', 'chocolate', 'chip', 'ice', 'cream', 'one', 'favorite', 'lost', 'vanilla', 'dont', 'even', 'like', 'top', 'pie', 'anymore', 'much', 'le', 'top', 'flavor', 'change', 'made', 'gunking', 'gum', 'disappointing', 'dont', 'know', 'thought', 'change', 'recipe', 'much', 'le', 'stick', 'change', 'coca', 'cola', 'back', 'day', 'came', 'new', 'coke', 'least', 'sense', 'go', 'back', 'classic', 'recipe', 'dont', 'recommend', 'vanilla', 'anyone', 'anymore', 'used', 'recommend', 'time']",4.1,0,"['used', 'ingredient', 'list', 'vanilla', 'bean', 'vanilla', 'natural', 'flavor', 'box', 'vanilla', 'used', 'good', 'flavor', 'used', 'natural', 'pretty', 'vanilla', 'ice', 'cream', 'ingredient', 'non', 'also', 'non', 'breyers', 'natural', 'vanilla', 'review', 'better', 'must', 'day', 'vanilla', 'bean', 'could', 'really', 'see', 'much', 'thats', 'issue', 'flavor', 'much', 'better', 'back', 'breyers', 'vanilla', 'ice', 'cream', 'good', 'flavor', 'since', 'changed', 'recipe', 'still', 'like', 'mint', 'chocolate', 'chip', 'ice', 'cream', 'one', 'favorite', 'vanilla', 'dont', 'even', 'like', 'top', 'pie', 'anymore', 'much', 'le', 'top', 'flavor', 'change', 'made', 'gum', 'disappointing', 'dont', 'know', 'thought', 'change', 'recipe', 'much', 'le', 'change', 'back', 'day', 'came', 'new', 'least', 'go', 'back', 'recipe', 'dont', 'recommend', 'vanilla', 'anyone', 'anymore', 'used', 'recommend', 'time']","used,ingredient,list,vanilla,bean,vanilla,natural,flavor,box,vanilla,used,good,flavor,used,natural,pretty,vanilla,ice,cream,ingredient,non,also,non,breyers,natural,vanilla,review,better,must,day,vanilla,bean,could,really,see,much,thats,issue,flavor,much,better,back,breyers,vanilla,ice,cream,good,flavor,since,changed,recipe,still,like,mint,chocolate,chip,ice,cream,one,favorite,vanilla,dont,even,like,top,pie,anymore,much,le,top,flavor,change,made,gum,disappointing,dont,know,thought,change,recipe,much,le,change,back,day,came,new,least,go,back,recipe,dont,recommend,vanilla,anyone,anymore,used,recommend,time"
0_breyers,1,7,0,"['boy', 'surprised', 'got', 'bryers', 'home', 'discover', 'frozen', 'dairy', 'dessert', 'even', 'ice', 'cream', 'second', 'ingredient', 'corn', 'syrup', 'purchasing', 'much', 'different', 'breyers', 'used', 'stand']",4.1,0,"['surprised', 'got', 'home', 'frozen', 'dairy', 'dessert', 'even', 'ice', 'cream', 'second', 'ingredient', 'syrup', 'much', 'different', 'breyers', 'used']","surprised,got,home,frozen,dairy,dessert,even,ice,cream,second,ingredient,syrup,much,different,breyers,used"
0_breyers,1,8,0,"['havent', 'purchased', 'product', 'awhile', 'surprised', 'today', 'find', 'cheapened', 'ingredient', 'vegetable', 'gum', 'natural', 'flavor', 'disappointment', 'youve', 'lost', 'customer', 'looking', 'alternative']",4.1,0,"['havent', 'purchased', 'product', 'surprised', 'today', 'find', 'ingredient', 'gum', 'natural', 'flavor', 'disappointment', 'customer', 'looking']","havent,purchased,product,surprised,today,find,ingredient,gum,natural,flavor,disappointment,customer,looking"
0_breyers,1,4,0,"['natural', 'vanilla', 'recipe', 'change', 'include', 'tara', 'gum', 'change', 'texture', 'importantly', 'flavor', 'negative', 'way', 'previous', 'rich', 'creamy', 'vanilla', 'flavor', 'profile', 'taste', 'take', 'away', 'previously', 'perceptible', 'vanilla', 'bean', 'previously', 'go', 'ice', 'cream', 'tried', 'buying', 'find', 'better', 'replacement', 'without', 'funky', 'gum', 'flavor', 'least', 'classic', 'recipe', 'come', 'back', 'option']",4.1,0,"['natural', 'vanilla', 'recipe', 'change', 'gum', 'change', 'texture', 'flavor', 'way', 'rich', 'creamy', 'vanilla', 'flavor', 'taste', 'take', 'away', 'vanilla', 'bean', 'go', 'ice', 'cream', 'tried', 'buying', 'find', 'better', 'without', 'gum', 'flavor', 'least', 'recipe', 'come', 'back', 'option']","natural,vanilla,recipe,change,gum,change,texture,flavor,way,rich,creamy,vanilla,flavor,taste,take,away,vanilla,bean,go,ice,cream,tried,buying,find,better,without,gum,flavor,least,recipe,come,back,option"
0_breyers,5,21,2,"['issue', 'breyers', 'finally', 'found', 'turkey', 'hill', 'natural', 'ice', 'cream', 'settle', 'filler', 'eat', 'natural']",4.1,1,"['issue', 'breyers', 'finally', 'found', 'natural', 'ice', 'cream', 'eat', 'natural']","issue,breyers,finally,found,natural,ice,cream,eat,natural"
0_breyers,1,4,0,"['rarely', 'eat', 'ice', 'cream', 'day', 'bought', 'around', 'occasional', 'indulgence', 'breyer', 'used', 'standard', 'way', 'back', 'logical', 'choice', 'tried', 'spoonful', 'immediately', 'turned', 'top', 'sweet', 'point', 'taste', 'like', 'ice', 'cream', 'sink', 'melting', 'flush', 'toilet', 'visiting', 'website', 'see', 'added', 'sugar', 'version', 'add', 'first', 'place', 'disappointed']",4.1,0,"['eat', 'ice', 'cream', 'day', 'bought', 'around', 'used', 'way', 'back', 'choice', 'tried', 'spoonful', 'top', 'sweet', 'point', 'taste', 'like', 'ice', 'cream', 'see', 'added', 'sugar', 'version', 'add', 'first', 'place', 'disappointed']","eat,ice,cream,day,bought,around,used,way,back,choice,tried,spoonful,top,sweet,point,taste,like,ice,cream,see,added,sugar,version,add,first,place,disappointed"
0_breyers,2,11,0,"['bought', 'breyer', 'best', 'ice', 'cream', 'chemical', 'natural', 'ice', 'cream', 'market', 'ruined']",4.1,0,"['bought', 'best', 'ice', 'cream', 'natural', 'ice', 'cream', 'market']","bought,best,ice,cream,natural,ice,cream,market"
0_breyers,1,2,0,"['upset', '1', '5qt', 'container', 'natural', 'vanilla', 'two', 'different', 'store', 'lacked', 'little', 'black', 'speck', 'come', 'love', 'expect']",4.1,0,"['1', 'container', 'natural', 'vanilla', 'two', 'different', 'store', 'little', 'come', 'love']","1,container,natural,vanilla,two,different,store,little,come,love"
0_breyers,1,3,0,"['seems', 'breyers', 'sold', 'unilever', 'year', 'ago', 'brand', 'heavily', 'cheapened', 'ice', 'cream', 'maker', 'started', 'adding', 'gum', 'product', 'stabilize', 'shipping', 'unfortunately', 'make', 'ice', 'cream', 'unbearable', 'tongue', 'nothing', 'like', 'real', 'ice', 'cream', 'breyers', 'succumbed', 'industry', 'trend', 'rather', 'maintaining', 'quality', 'product', 'came', 'love', 'support', 'personally', 'never', 'minded', 'paying', 'little', 'money', 'quality', 'product', 'theyve', 'cheapened', 'shrunken', 'container', 'portion', 'yet', 'still', 'charge', 'hefty', 'price', 'brand', 'found', 'still', 'make', 'real', 'ice', 'cream', 'hagan', 'daz', 'turkey', 'hill', 'blue', 'bunny', 'vanilla', 'come', 'plastic', 'container', 'wont', 'buy']",4.1,0,"['seems', 'breyers', 'sold', 'unilever', 'year', 'ago', 'brand', 'ice', 'cream', 'gum', 'product', 'unfortunately', 'make', 'ice', 'cream', 'nothing', 'like', 'real', 'ice', 'cream', 'breyers', 'quality', 'product', 'came', 'love', 'never', 'little', 'quality', 'product', 'container', 'yet', 'still', 'price', 'brand', 'found', 'still', 'make', 'real', 'ice', 'cream', 'vanilla', 'come', 'container', 'wont', 'buy']","seems,breyers,sold,unilever,year,ago,brand,ice,cream,gum,product,unfortunately,make,ice,cream,nothing,like,real,ice,cream,breyers,quality,product,came,love,never,little,quality,product,container,yet,still,price,brand,found,still,make,real,ice,cream,vanilla,come,container,wont,buy"
0_breyers,1,5,0,"['new', 'flavor', 'vanilla', 'completely', 'miss', 'mark', 'come', 'true', 'vanilla', 'bean', 'flavor', 'bought', 'flavor', 'thinking', 'old', 'flavor', 'vanilla', 'natural', 'vanilla', 'vanilla', 'bean', 'speck', 'flavor', 'absolutely', 'hint', 'true', 'vanilla', 'frankly', 'horrible', 'better', 'run', 'mill', 'superstore', 'grade', 'vanilla', 'ice', 'cream', 'except', 'lack', 'diglycerides', 'breyers', 'please', 'bring', 'back', 'natural', 'vanilla', 'vanilla', 'bean', 'speck']",4.1,0,"['new', 'flavor', 'vanilla', 'completely', 'come', 'true', 'vanilla', 'bean', 'flavor', 'bought', 'flavor', 'thinking', 'old', 'flavor', 'vanilla', 'natural', 'vanilla', 'vanilla', 'bean', 'flavor', 'absolutely', 'hint', 'true', 'vanilla', 'better', 'vanilla', 'ice', 'cream', 'breyers', 'please', 'bring', 'back', 'natural', 'vanilla', 'vanilla', 'bean']","new,flavor,vanilla,completely,come,true,vanilla,bean,flavor,bought,flavor,thinking,old,flavor,vanilla,natural,vanilla,vanilla,bean,flavor,absolutely,hint,true,vanilla,better,vanilla,ice,cream,breyers,please,bring,back,natural,vanilla,vanilla,bean"
